ID	TICKER	INDICE	FONTE	QTD_TEORICA	PESO
1	VALE3	IBOV	B3	            4.270.903.023 	                                  12,0693
2	PETR4	IBOV	B3	            4.431.132.660 	                                    7,4851
3	ITUB4	IBOV	B3	            4.455.161.368 	                                    7,3277
4	PETR3	IBOV	B3	            2.448.348.744 	                                    4,5171
5	BBDC4	IBOV	B3	            5.129.958.973 	                                    3,6428
6	BBAS3	IBOV	B3	            2.842.613.858 	                                    3,4972
7	WEGE3	IBOV	B3	            1.269.032.828 	                                    3,3214
8	ELET3	IBOV	B3	            1.780.013.881 	                                    3,2058
9	SBSP3	IBOV	B3	               683.508.570 	                                    2,9119
10	ITSA4	IBOV	B3	            5.504.638.590 	                                    2,7373
11	B3SA3	IBOV	B3	            5.511.401.013 	                                    2,7355
12	ABEV3	IBOV	B3	            4.394.835.131 	                                    2,6356
13	BPAC11	IBOV	B3	            1.287.247.964 	                                    1,9468
14	RENT3	IBOV	B3	               977.700.485 	                                    1,9461
15	EQTL3	IBOV	B3	            1.244.602.400 	                                    1,8817
16	JBSS3	IBOV	B3	            1.142.696.472 	                                    1,8816
17	EMBR3	IBOV	B3	               734.632.601 	                                    1,7056
18	SUZB3	IBOV	B3	               630.821.784 	                                    1,6991
19	RDOR3	IBOV	B3	            1.145.289.019 	                                    1,5982
20	PRIO3	IBOV	B3	               798.909.771 	                                    1,5551
21	RADL3	IBOV	B3	            1.279.770.315 	                                    1,5122
22	RAIL3	IBOV	B3	            1.215.994.115 	                                    1,0751
23	VBBR3	IBOV	B3	            1.023.392.529 	                                    1,0642
24	GGBR4	IBOV	B3	            1.242.683.687 	                                    1,0563
25	UGPA3	IBOV	B3	            1.090.134.379 	                                    1,0362
